epsilon,lambda,CTX,SSI,ESR,NMI
0.1,0.1,0.18659,0.831607,0.593032,0.707289
0.1,0.2,0.19489,0.8047,0.586674,0.699773
0.1,0.3,0.19343,0.827285,0.586678,0.696136
0.1,0.4,0.20328,0.84824,0.586719,0.688373
0.1,0.5,0.20283,0.871914,0.592096,0.68239
0.1,0.6,0.19569,0.874035,0.585922,0.677699
0.1,0.7,0.20674,0.905002,0.59116,0.673151
0.1,0.8,0.21508,0.906041,0.583384,0.665116
0.1,0.9,0.22246,0.911048,0.589127,0.668647
0.1,1.0,0.22662,0.908572,0.590439,0.663354
0.2,0.1,0.1495,0.80182,0.641921,0.728169
0.2,0.2,0.15419,0.827207,0.646872,0.721786
0.2,0.3,0.15349,0.812681,0.648153,0.722694
0.2,0.4,0.16509,0.827867,0.638618,0.711317
0.2,0.5,0.1596,0.855872,0.643735,0.705091
0.2,0.6,0.16202,0.881016,0.646904,0.695312
0.2,0.7,0.16669,0.90212,0.647135,0.696573
0.2,0.8,0.16938,0.907185,0.652089,0.687798
0.2,0.9,0.17927,0.92313,0.64868,0.685715
0.2,1.0,0.18763,0.92791,0.646733,0.675778
0.3,0.1,0.12991,0.77964,0.688764,0.752868
0.3,0.2,0.12918,0.823208,0.688348,0.746767
0.3,0.3,0.13508,0.849278,0.689319,0.738927
0.3,0.4,0.13551,0.840719,0.690078,0.730053
0.3,0.5,0.13614,0.835365,0.690436,0.723369
0.3,0.6,0.1436,0.880884,0.694213,0.717043
0.3,0.7,0.14498,0.898787,0.6951,0.715135
0.3,0.8,0.15239,0.897286,0.68773,0.699855
0.3,0.9,0.16461,0.91906,0.687608,0.698616
0.3,1.0,0.16627,0.919097,0.686196,0.690375
0.4,0.1,0.10728,0.81403,0.732844,0.779198
0.4,0.2,0.11371,0.810546,0.71674,0.760686
0.4,0.3,0.11773,0.821665,0.722126,0.754192
0.4,0.4,0.1235,0.836287,0.724711,0.749849
0.4,0.5,0.12165,0.83975,0.729351,0.742143
0.4,0.6,0.12915,0.889485,0.720206,0.727669
0.4,0.7,0.12812,0.894172,0.72508,0.726861
0.4,0.8,0.13088,0.906437,0.724063,0.720774
0.4,0.9,0.15036,0.919205,0.7247,0.709164
0.4,1.0,0.15507,0.918755,0.722148,0.707264
0.5,0.1,0.09721,0.825789,0.758703,0.785711
0.5,0.2,0.10438,0.818558,0.756566,0.779575
0.5,0.3,0.10591,0.824072,0.757047,0.768516
0.5,0.4,0.11337,0.83232,0.75545,0.764196
0.5,0.5,0.11115,0.850487,0.755957,0.749164
0.5,0.6,0.11542,0.874241,0.754187,0.742144
0.5,0.7,0.11489,0.892448,0.753978,0.738263
0.5,0.8,0.12805,0.900667,0.7536,0.724868
0.5,0.9,0.1382,0.92116,0.756397,0.721326
0.5,1.0,0.14366,0.934482,0.756576,0.712065
0.6,0.1,0.09518,0.797345,0.780678,0.801969
0.6,0.2,0.0943,0.812518,0.777837,0.791069
0.6,0.3,0.10323,0.813138,0.778426,0.780718
0.6,0.4,0.10018,0.839057,0.783027,0.769739
0.6,0.5,0.10796,0.842978,0.780397,0.757587
0.6,0.6,0.10668,0.875548,0.77901,0.751147
0.6,0.7,0.10991,0.900549,0.783282,0.749004
0.6,0.8,0.11204,0.90795,0.782856,0.744695
0.6,0.9,0.13081,0.92841,0.777953,0.726563
0.6,1.0,0.13713,0.936627,0.775887,0.718324
0.7,0.1,0.08883,0.813393,0.801845,0.822787
0.7,0.2,0.08601,0.815201,0.804565,0.806542
0.7,0.3,0.09311,0.823381,0.801151,0.795766
0.7,0.4,0.09489,0.836429,0.803845,0.785574
0.7,0.5,0.09901,0.852412,0.801931,0.770448
0.7,0.6,0.10035,0.884956,0.802696,0.759577
0.7,0.7,0.10674,0.888003,0.803778,0.755791
0.7,0.8,0.11558,0.909869,0.80176,0.744857
0.7,0.9,0.12427,0.907525,0.803343,0.740443
0.7,1.0,0.13043,0.932522,0.801455,0.735347
0.8,0.1,0.07746,0.803923,0.825978,0.834615
0.8,0.2,0.08192,0.81094,0.820627,0.817374
0.8,0.3,0.08621,0.825177,0.82133,0.805845
0.8,0.4,0.0913,0.835803,0.825089,0.79809
0.8,0.5,0.09097,0.82524,0.819473,0.779333
0.8,0.6,0.0963,0.886198,0.822632,0.772655
0.8,0.7,0.09921,0.888958,0.819346,0.764502
0.8,0.8,0.10886,0.902783,0.825054,0.756317
0.8,0.9,0.11539,0.913267,0.824412,0.747936
0.8,1.0,0.1237,0.931781,0.825461,0.735901
0.9,0.1,0.0772,0.782557,0.842406,0.842245
0.9,0.2,0.08024,0.815626,0.838275,0.822074
0.9,0.3,0.08481,0.820758,0.839221,0.817217
0.9,0.4,0.08687,0.838842,0.836475,0.792185
0.9,0.5,0.08501,0.826746,0.841884,0.793925
0.9,0.6,0.09084,0.879669,0.84192,0.778915
0.9,0.7,0.10096,0.89302,0.838067,0.77165
0.9,0.8,0.1071,0.903911,0.841607,0.766573
0.9,0.9,0.11272,0.912872,0.837819,0.748016
0.9,1.0,0.12202,0.930452,0.840887,0.740795
1.0,0.1,0.07479,0.792624,0.856632,0.848017
1.0,0.2,0.0778,0.803567,0.851119,0.832218
1.0,0.3,0.08045,0.80945,0.852656,0.821698
1.0,0.4,0.08479,0.837295,0.850002,0.8089
1.0,0.5,0.08615,0.846719,0.855546,0.798279
1.0,0.6,0.09176,0.885542,0.852635,0.78782
1.0,0.7,0.09292,0.896815,0.851515,0.777735
1.0,0.8,0.10313,0.899989,0.856604,0.767574
1.0,0.9,0.10888,0.921016,0.852419,0.75559
1.0,1.0,0.12011,0.931023,0.851629,0.744985
